# Year Built,Floor Area,Energy Star Score,Site EUI
1.960000000000000000e+03,9.545132928999999422e+03,1.000000000000000000e+00,4.189296848000000182e+02
2.013000000000000000e+03,5.928474880799999664e+04,4.800000000000000000e+01,1.870672462999999937e+02
1.951000000000000000e+03,1.692646208499999921e+04,6.700000000000000000e+01,2.621465120999999954e+02
1.955000000000000000e+03,1.219760648199999923e+04,9.000000000000000000e+00,3.665634741999999733e+02
1.962000000000000000e+03,2.691864425000000119e+04,5.600000000000000000e+01,2.290233065999999837e+02
1.937000000000000000e+03,7.650562049999999545e+03,2.400000000000000000e+01,3.548914874999999824e+02
1.942000000000000000e+03,1.741513186499999938e+04,9.800000000000000000e+01,2.031556604000000164e+02
1.929000000000000000e+03,5.361246323999999731e+03,9.900000000000000000e+01,1.457421042000000000e+02
1.898000000000000000e+03,6.597320738999999776e+03,6.300000000000000000e+01,1.782343914999999868e+02
1.955000000000000000e+03,6.077342647999999826e+03,4.200000000000000000e+01,2.447962615999999798e+02
2.016000000000000000e+03,4.830956000000000131e+03,8.600000000000000000e+01,1.570986317999999926e+02
1.980000000000000000e+03,2.182495856600000116e+04,8.800000000000000000e+01,1.287073127999999826e+02
1.960000000000000000e+03,2.218152027999999973e+03,2.000000000000000000e+00,5.268166969999999765e+02
1.900000000000000000e+03,2.119396138999999948e+03,5.000000000000000000e+00,3.015788995999999997e+02
1.964000000000000000e+03,4.465289791999999579e+03,1.700000000000000000e+01,2.769730897999999684e+02
1.943000000000000000e+03,4.206619969100000162e+04,2.200000000000000000e+01,3.053644087999999783e+02
1.967000000000000000e+03,1.839479400000000169e+04,3.700000000000000000e+01,2.864368627999999717e+02
1.964000000000000000e+03,4.465289791999999579e+03,1.400000000000000000e+01,2.971624722000000247e+02
1.959000000000000000e+03,1.943865210799999841e+04,2.000000000000000000e+00,3.955857114000000365e+02
1.943000000000000000e+03,4.206619969100000162e+04,1.700000000000000000e+01,3.290238412999999582e+02
1.959000000000000000e+03,4.366924095600000146e+04,7.800000000000000000e+01,2.223986654999999928e+02
1.960000000000000000e+03,1.649214055999999982e+04,3.100000000000000000e+01,3.388030734000000166e+02
1.964000000000000000e+03,1.054318985799999973e+04,2.400000000000000000e+01,2.974779312999999661e+02
1.960000000000000000e+03,1.245829229999999916e+04,1.300000000000000000e+01,3.643552604999999858e+02
1.942000000000000000e+03,2.074375345200000083e+04,1.400000000000000000e+01,3.268156275999999707e+02
1.965000000000000000e+03,3.560042959999999766e+03,2.000000000000000000e+00,5.066273145999999770e+02
1.945000000000000000e+03,4.281759915499999624e+04,4.700000000000000000e+01,2.460580980000000011e+02
1.968000000000000000e+03,7.432239999999999782e+03,3.500000000000000000e+01,2.498436072000000081e+02
1.968000000000000000e+03,1.915148893500000122e+04,1.000000000000000000e+00,3.653016377999999804e+02
1.964000000000000000e+03,1.508001496000000043e+04,4.300000000000000000e+01,2.675093167999999650e+02
1.941000000000000000e+03,1.511643293599999924e+04,6.500000000000000000e+01,2.488972299000000135e+02
1.937000000000000000e+03,1.708058816200000001e+04,2.700000000000000000e+01,4.116741255000000024e+02
1.964000000000000000e+03,2.580185728699999891e+04,7.000000000000000000e+00,4.198760620999999560e+02
1.960000000000000000e+03,1.411605343200000061e+04,3.100000000000000000e+01,2.832822717999999895e+02
1.965000000000000000e+03,2.145957106700000077e+04,1.500000000000000000e+01,2.959006357999999750e+02
1.959000000000000000e+03,1.071385266899999988e+04,1.000000000000000000e+00,4.454282491999999252e+02
1.960000000000000000e+03,1.303206122800000048e+04,2.000000000000000000e+00,4.675103861999999708e+02
1.960000000000000000e+03,2.552797924300000159e+04,2.800000000000000000e+01,3.299702185999999529e+02
1.953000000000000000e+03,1.820490026800000123e+04,2.000000000000000000e+00,5.132519556999999395e+02
1.966000000000000000e+03,1.836209214399999837e+04,4.300000000000000000e+01,2.447962615999999798e+02
1.967000000000000000e+03,1.839479400000000169e+04,3.300000000000000000e+01,3.078880815999999641e+02
1.971000000000000000e+03,5.821673592000000099e+03,1.100000000000000000e+01,3.839137246999999888e+02
1.960000000000000000e+03,9.418134528000000500e+03,5.000000000000000000e+00,3.369103187999999705e+02
1.966000000000000000e+03,1.836209214399999837e+04,6.600000000000000000e+01,2.223986654999999928e+02
1.987000000000000000e+03,7.099647259999999733e+03,1.200000000000000000e+01,2.227141245999999626e+02
1.965000000000000000e+03,7.776538518000000295e+03,3.500000000000000000e+01,3.252383320999999796e+02
1.960000000000000000e+03,1.411605343200000061e+04,2.900000000000000000e+01,2.766576307000000270e+02
1.965000000000000000e+03,2.145957106700000077e+04,1.200000000000000000e+01,2.987397677000000158e+02
1.953000000000000000e+03,1.820490026800000123e+04,3.000000000000000000e+00,4.823369639000000006e+02
1.965000000000000000e+03,8.115077049999999872e+03,1.200000000000000000e+01,2.823358944999999949e+02
1.968000000000000000e+03,3.244785919799999829e+04,4.000000000000000000e+00,3.353330232999999794e+02
1.949000000000000000e+03,1.276487219999999979e+03,1.000000000000000000e+00,5.173529240000000300e+02
2.006000000000000000e+03,5.100569796299999871e+04,8.500000000000000000e+01,1.261836399999999969e+02
