# Energy Star Score,Floor Area,Occupancy,Site EUI,Year Built
9.600000000000000000e+01,3.340234461999999894e+03,1.000000000000000000e+02,9.968507560000000467e+01,1.989000000000000000e+03
7.300000000000000000e+01,2.538109959999999774e+03,1.000000000000000000e+02,1.271300172999999916e+02,1.965000000000000000e+03
6.900000000000000000e+01,2.694094097000000147e+03,8.000000000000000000e+01,1.539440407999999820e+02,1.965000000000000000e+03
6.300000000000000000e+01,7.358196308999999928e+03,1.000000000000000000e+02,1.154580306000000007e+02,1.985000000000000000e+03
1.000000000000000000e+02,2.294917776899999808e+04,9.500000000000000000e+01,7.224013389999998935e+01,2.016000000000000000e+03
1.000000000000000000e+02,2.032624737000000096e+03,1.000000000000000000e+02,1.041015029999999975e+01,1.957000000000000000e+03
9.100000000000000000e+01,2.689077334999999948e+03,1.000000000000000000e+02,1.182971624999999989e+02,1.979000000000000000e+03
9.300000000000000000e+01,2.659534180999999990e+03,1.000000000000000000e+02,1.164044078999999954e+02,1.964000000000000000e+03
9.500000000000000000e+01,2.288944113999999900e+03,1.000000000000000000e+02,9.810778009999999938e+01,1.962000000000000000e+03
6.000000000000000000e+00,2.947068965999999818e+03,1.000000000000000000e+02,1.952691829000000041e+02,1.922000000000000000e+03
1.000000000000000000e+02,3.443143115099999704e+04,9.500000000000000000e+01,7.097829749999999649e+01,2.016000000000000000e+03
4.600000000000000000e+01,2.369026499999999942e+04,9.000000000000000000e+01,1.223981307999999899e+02,2.003000000000000000e+03
9.300000000000000000e+01,2.039220849999999928e+03,9.500000000000000000e+01,1.186126215999999971e+02,1.985000000000000000e+03
1.000000000000000000e+00,1.899401834999999892e+03,1.000000000000000000e+02,2.283923884000000157e+02,1.964000000000000000e+03
6.800000000000000000e+01,2.935177381999999852e+03,1.000000000000000000e+02,1.684551593999999852e+02,1.948000000000000000e+03
3.000000000000000000e+00,1.775357749400000102e+04,9.500000000000000000e+01,2.511054435999999725e+02,1.959000000000000000e+03
1.000000000000000000e+00,1.934704974999999877e+03,1.000000000000000000e+02,2.283923884000000157e+02,1.964000000000000000e+03
8.900000000000000000e+01,2.993706271999999899e+03,1.000000000000000000e+02,1.334391992999999843e+02,1.979000000000000000e+03
2.500000000000000000e+01,2.657397411999999804e+03,1.000000000000000000e+02,1.854899507999999742e+02,1.984000000000000000e+03
2.100000000000000000e+01,2.648664530000000013e+03,9.500000000000000000e+01,2.198749927000000071e+02,1.958000000000000000e+03
1.000000000000000000e+02,3.022877813999999944e+03,1.000000000000000000e+02,9.148313899999999776e+00,1.976000000000000000e+03
5.800000000000000000e+01,2.037279177300000083e+04,8.000000000000000000e+01,1.113570622999999813e+02,1.972000000000000000e+03
1.100000000000000000e+01,4.994651085999999850e+03,1.000000000000000000e+02,1.955846420000000023e+02,1.968000000000000000e+03
5.000000000000000000e+01,1.981249377999999979e+03,1.000000000000000000e+02,1.656160275000000013e+02,1.955000000000000000e+03
8.200000000000000000e+01,2.752901695999999902e+03,1.000000000000000000e+02,1.037860438999999957e+02,1.986000000000000000e+03
3.800000000000000000e+01,2.705706971999999951e+03,9.500000000000000000e+01,1.675087820999999906e+02,1.962000000000000000e+03
8.400000000000000000e+01,3.353798299999999927e+03,1.000000000000000000e+02,1.441648087000000089e+02,1.985000000000000000e+03
1.000000000000000000e+02,2.907492287999999917e+03,9.500000000000000000e+01,1.589913863999999819e+02,1.989000000000000000e+03
1.000000000000000000e+00,3.361973763999999846e+03,9.500000000000000000e+01,4.854915548999999828e+02,1.986000000000000000e+03
7.600000000000000000e+01,2.648664530000000013e+03,9.500000000000000000e+01,1.223981307999999899e+02,1.958000000000000000e+03
1.000000000000000000e+02,2.942423815999999988e+03,1.000000000000000000e+02,1.577295499999999961e+01,1.978000000000000000e+03
6.800000000000000000e+01,2.152841218999999910e+03,1.000000000000000000e+02,1.826508188999999902e+02,1.963000000000000000e+03
1.000000000000000000e+02,3.723459336999999778e+03,1.000000000000000000e+02,1.041015029999999975e+01,1.964000000000000000e+03
1.000000000000000000e+02,3.353798299999999927e+03,1.000000000000000000e+02,3.785509199999999908e+00,1.985000000000000000e+03
1.000000000000000000e+02,5.297700671999999940e+03,9.000000000000000000e+01,1.094643077000000062e+02,1.989000000000000000e+03
3.700000000000000000e+01,3.417436854999999923e+03,9.500000000000000000e+01,1.876981644999999901e+02,1.992000000000000000e+03
6.000000000000000000e+01,5.397292687999999544e+03,1.000000000000000000e+02,1.287073127999999826e+02,1.988000000000000000e+03
2.700000000000000000e+01,1.092576441200000045e+04,9.500000000000000000e+01,2.037865785999999844e+02,1.971000000000000000e+03
9.200000000000000000e+01,4.153878936000000067e+03,9.000000000000000000e+01,7.728747950000000344e+01,1.969000000000000000e+03
9.100000000000000000e+01,2.462394014999999854e+03,9.500000000000000000e+01,1.047324212000000045e+02,1.986000000000000000e+03
1.000000000000000000e+01,2.603142060000000129e+03,1.000000000000000000e+02,1.611996000999999978e+02,1.963000000000000000e+03
7.600000000000000000e+01,2.509681642000000011e+03,9.500000000000000000e+01,1.533131226000000140e+02,1.963000000000000000e+03
9.800000000000000000e+01,5.427671968999999990e+03,9.500000000000000000e+01,1.041015029999999939e+02,1.971000000000000000e+03
8.900000000000000000e+01,4.440949206000000231e+03,9.000000000000000000e+01,8.801308889999999963e+01,1.988000000000000000e+03
9.200000000000000000e+01,1.003352399999999943e+04,9.500000000000000000e+01,7.476380669999998929e+01,1.991000000000000000e+03
1.000000000000000000e+02,1.864749015999999983e+03,1.000000000000000000e+02,4.416427399999999892e+00,1.976000000000000000e+03
6.000000000000000000e+01,5.397292687999999544e+03,1.000000000000000000e+02,1.328082810999999879e+02,1.988000000000000000e+03
9.700000000000000000e+01,7.299017098000000260e+03,9.500000000000000000e+01,1.037860438999999957e+02,1.985000000000000000e+03
8.700000000000000000e+01,8.175928514999999607e+03,9.500000000000000000e+01,1.309155264999999986e+02,1.974000000000000000e+03
9.800000000000000000e+01,1.378708390899999904e+04,9.500000000000000000e+01,8.959038439999999071e+01,1.971000000000000000e+03
8.100000000000000000e+01,2.117816788000000088e+03,1.000000000000000000e+02,1.479503178999999875e+02,1.984000000000000000e+03
1.000000000000000000e+02,2.764607473999999911e+03,1.000000000000000000e+02,7.886477499999999807e+00,1.962000000000000000e+03
1.000000000000000000e+02,3.075925427000000127e+03,1.000000000000000000e+02,9.463772999999999769e+00,1.962000000000000000e+03
