# Year Built,Floor Area,Energy Star Score,Site EUI
1.982000000000000000e+03,9.817617427999999563e+03,5.800000000000000000e+01,1.665624047999999959e+02
2.001000000000000000e+03,3.928589160999999876e+04,5.300000000000000000e+01,1.656160275000000013e+02
1.930000000000000000e+03,6.781918999999999869e+03,5.000000000000000000e+01,1.653005684000000031e+02
2.005000000000000000e+03,5.539434277999999722e+03,5.200000000000000000e+01,1.649851092999999764e+02
2.004000000000000000e+03,2.278789816100000098e+04,5.000000000000000000e+01,1.643541911000000084e+02
2.013000000000000000e+03,2.516556464000000051e+04,4.400000000000000000e+01,1.643541911000000084e+02
2.009000000000000000e+03,5.314887727000000268e+03,4.500000000000000000e+01,1.630923547000000156e+02
1.952000000000000000e+03,5.288781984000000193e+03,9.000000000000000000e+00,1.624614364999999907e+02
1.967000000000000000e+03,1.456867684799999915e+04,9.300000000000000000e+01,1.621459773999999925e+02
1.929000000000000000e+03,1.334087080000000060e+04,6.800000000000000000e+01,1.621459773999999925e+02
2.015000000000000000e+03,8.557202427000000171e+03,5.900000000000000000e+01,1.615150591999999961e+02
1.925000000000000000e+03,3.307374670899999910e+04,9.300000000000000000e+01,1.602532227999999748e+02
1.925000000000000000e+03,4.071334620500000165e+04,8.200000000000000000e+01,1.599377637000000050e+02
2.015000000000000000e+03,8.554229530999999042e+03,6.800000000000000000e+01,1.599377637000000050e+02
1.900000000000000000e+03,4.978764672999999675e+03,1.000000000000000000e+01,1.599377637000000050e+02
1.927000000000000000e+03,4.645149999999999636e+03,2.300000000000000000e+01,1.596223046000000068e+02
2.006000000000000000e+03,3.920506600000000162e+03,2.400000000000000000e+01,1.593068455000000085e+02
2.008000000000000000e+03,3.203490536299999803e+04,8.700000000000000000e+01,1.589913863999999819e+02
1.962000000000000000e+03,8.082560999999999694e+03,9.000000000000000000e+01,1.589913863999999819e+02
2.015000000000000000e+03,7.496064360999999917e+04,7.400000000000000000e+01,1.586759272999999837e+02
1.910000000000000000e+03,1.822989117500000066e+04,5.300000000000000000e+01,1.574140908999999908e+02
1.912000000000000000e+03,6.038694999999999709e+03,9.700000000000000000e+01,1.555213362999999731e+02
1.984000000000000000e+03,4.771498080000000300e+03,3.000000000000000000e+01,1.552058772000000033e+02
2.008000000000000000e+03,7.500988220000000183e+03,3.900000000000000000e+01,1.552058772000000033e+02
2.017000000000000000e+03,1.441455077100000017e+04,6.100000000000000000e+01,1.548904181000000051e+02
2.006000000000000000e+03,6.930563799999999901e+03,2.500000000000000000e+01,1.548904181000000051e+02
2.017000000000000000e+03,1.441455077100000017e+04,6.100000000000000000e+01,1.548904181000000051e+02
1.954000000000000000e+03,7.896755000000000109e+03,8.300000000000000000e+01,1.548904181000000051e+02
1.929000000000000000e+03,2.892776452799999970e+04,8.500000000000000000e+01,1.539440407999999820e+02
1.976000000000000000e+03,1.300642000000000007e+04,9.200000000000000000e+01,1.536285817000000122e+02
1.976000000000000000e+03,2.285413799999999901e+04,8.400000000000000000e+01,1.529976634999999874e+02
1.994000000000000000e+03,1.040810889599999973e+04,8.400000000000000000e+01,1.520512861999999927e+02
2.001000000000000000e+03,2.749928800000000047e+04,3.500000000000000000e+01,1.520512861999999927e+02
2.004000000000000000e+03,6.143025069000000258e+03,7.000000000000000000e+01,1.517358270999999945e+02
